Percentile,Year,National income,Gross domestic product
pall,2000,136742058,15926391
pall,2001,134856378,157671217
pall,2002,135331881,158570349
pall,2003,132947964,15652969
pall,2004,137996296,161704504
pall,2005,138972598,163198254
pall,2006,141267498,166010924
pall,2007,147231293,172508499
pall,2008,151994965,177782255
pall,2009,148269714,17422319
pall,2010,155880637,18390231
pall,2011,159880623,187812318
pall,2012,160999095,188166143
pall,2013,165127162,190626268
pall,2014,162029831,188474179
pall,2015,153069889,17885814
pall,2016,145393644,170349365
pall,2017,145772125,169951992
pall,2018,144450003,16958824
pall,2019,143865311,169027564
pall,2020,135388557,159937939
pall,2021,139852838,163666392
